sep_text pages_names subcategory content
*** "*page_ Fred_Barnes_(performer)" "*cat_ Suicides_by_gas" "     By the mid 1930s ,  Barnes was suffering from tuberculosis .   His failing health led him and his lover and manager John Senior to move to Southend-on-Sea .  By this time any work consisted of playing the piano in pubs while Senior collected tips .  Barnes's rent was paid for by Charles Ashmead Watson ,  while also funding lighting and clothing costs ,  as well as giving them a weekly allowance of 30 shillings . Barnes died at his lodgings in St Ann's Road ,  Southend-on-Sea ,  on 23 October 1938 .  An inquest found that the cause of death was from the effects of coal gas poisoning . When the jury at the inquest into Barnes's death commented that Watson had been """"wonderful"""" ,  he replied """"He was a great man"""" .   Naomi Jacob shared the view ,  and opined that Watson """"had one of the kindest hearts in the world and was a fine artist and no mean dancer"""" .  The Era commented on Barnes's """"singularly pleasing popularity"""" .  His funeral on 2 November 1938 ,  was attended by hundreds of people at St Saviour's Church ,  Saltley with nearby streets crowded with mourners . Barnes was free with facts in interviews and in his own account of his life ;  his numerous publicity stunts which included announcements of his 'near-death' in a fire and a fake marriage . "
*** "*page_ Fred_Barnes_(performer)" "*cat_ Suicides_by_gas" "     By the mid 1930s ,  Barnes was suffering from tuberculosis .   His failing health led him and his lover and manager John Senior to move to Southend-on-Sea .  By this time any work consisted of playing the piano in pubs while Senior collected tips .  Barnes's rent was paid for by Charles Ashmead Watson ,  while also funding lighting and clothing costs ,  as well as giving them a weekly allowance of 30 shillings . Barnes died at his lodgings in St Ann's Road ,  Southend-on-Sea ,  on 23 October 1938 .  An inquest found that the cause of death was from the effects of coal gas poisoning . When the jury at the inquest into Barnes's death commented that Watson had been """"wonderful"""" ,  he replied """"He was a great man"""" .   Naomi Jacob shared the view ,  and opined that Watson """"had one of the kindest hearts in the world and was a fine artist and no mean dancer"""" .  The Era commented on Barnes's """"singularly pleasing popularity"""" .  His funeral on 2 November 1938 ,  was attended by hundreds of people at St Saviour's Church ,  Saltley with nearby streets crowded with mourners . Barnes was free with facts in interviews and in his own account of his life ;  his numerous publicity stunts which included announcements of his 'near-death' in a fire and a fake marriage . "
*** "*page_ William_McCoy_(mutineer)" "*cat_ Suicides_in_the_Pitcairn_Islands" "     In 1799 Young began to suffer from asthma .  At about the same time ,  he became more religious .  The other islanders converted to Christianity ,  and Young taught Adams and several of the children to read and write .  Young's health became progressively worse and eventually he died of asthma ,  but Adams continued his work of educating the women and children ,  taking control over leadership of the island ,  and lived to see the island rediscovered by American and British ships . Many of Young's and the mutineers descendants continue to live on Pitcairn Island or Norfolk Island . "
*** "*page_ William_McCoy_(mutineer)" "*cat_ Suicides_in_the_Pitcairn_Islands" "     In 1799 Young began to suffer from asthma .  At about the same time ,  he became more religious .  The other islanders converted to Christianity ,  and Young taught Adams and several of the children to read and write .  Young's health became progressively worse and eventually he died of asthma ,  but Adams continued his work of educating the women and children ,  taking control over leadership of the island ,  and lived to see the island rediscovered by American and British ships . Many of Young's and the mutineers descendants continue to live on Pitcairn Island or Norfolk Island . "
*** "*page_ Antoine-Jean_Gros" "*cat_ Artists_who_committed_suicide" "     In 1810 ,  his Madrid and Napoleon at the Pyramids (Versailles) show that his star had deserted him .  His Francis I and Charles V ,  1812 (Louvre) ,  had considerable success ,  but the decoration of the dome of St .  Genevieve (begun in 1811 and completed in 1824) is the only work of Gros's later years which shows his early force and vigour ,  as well as his skill .  The """"Departure of Louis XVIII"""" (Versailles) ,  the Embarkation of Madame d'Angoulême (Bordeaux) ,  the plafond of the Egyptian room in the Louvre ,  and finally his Hercules and Diomedes ,  exhibited in 1835 ,  testify only that Gros's efforts – in accordance with the frequent counsels of his old master David – to stem the rising tide of Romanticism only damaged his once brilliant reputation . Again citing the 1911 Encyclopædia Britannica ,  """"Exasperated by criticism and the consciousness of failure ,  Gros sought refuge in the gros"
*** "*page_ Chantal_Akerman" "*cat_ Suicides_in_France" "    65-year old Akerman died on 5 October 2015 in Paris ;  Le Monde reported that she committed suicide .  Her last film was the documentary No Home Movie ,  a series of conversations with her mother shortly before her mother's death ;  of the film ,  she said :  """"I think if I knew I was going to do this ,  I wouldn't have dared to do it . """"According to Akerman's sister ,  she had been hospitalized for depression and then returned home to Paris ten days before her death .  "
*** "*page_ Chantal_Akerman" "*cat_ Suicides_in_France" "    65-year old Akerman died on 5 October 2015 in Paris ;  Le Monde reported that she committed suicide .  Her last film was the documentary No Home Movie ,  a series of conversations with her mother shortly before her mother's death ;  of the film ,  she said :  """"I think if I knew I was going to do this ,  I wouldn't have dared to do it . """"According to Akerman's sister ,  she had been hospitalized for depression and then returned home to Paris ten days before her death .  "
*** "*page_ Chantal_Akerman" "*cat_ Suicides_in_France" "    65-year old Akerman died on 5 October 2015 in Paris ;  Le Monde reported that she committed suicide .  Her last film was the documentary No Home Movie ,  a series of conversations with her mother shortly before her mother's death ;  of the film ,  she said :  """"I think if I knew I was going to do this ,  I wouldn't have dared to do it . """"According to Akerman's sister ,  she had been hospitalized for depression and then returned home to Paris ten days before her death .  "
*** "*page_ Chantal_Akerman" "*cat_ Artists_who_committed_suicide" "    65-year old Akerman died on 5 October 2015 in Paris ;  Le Monde reported that she committed suicide .  Her last film was the documentary No Home Movie ,  a series of conversations with her mother shortly before her mother's death ;  of the film ,  she said :  """"I think if I knew I was going to do this ,  I wouldn't have dared to do it . """"According to Akerman's sister ,  she had been hospitalized for depression and then returned home to Paris ten days before her death .  "
*** "*page_ Roy_Buchanan" "*cat_ People_who_committed_suicide_in_prison_custody" "    According to his agent and others ,  Buchanan was doing well ,  having gained control of his drinking habit and playing again ,  when he was arrested for public intoxication after a domestic dispute . After his death ,  compilation and other albums continue to be released ,  including in 2004 the never-released first album he recorded for Polydor ,  The Prophet . Roy Buchanan is interred at Columbia Gardens Cemetery in Arlington ,  Virginia .  "
